Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Steps (average per min),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion)
2018-07-23T23:00:00.000Z,4,119,7140,0.026358684,0.483870968,1,8.183333333,0.816666667,0.1,0.083333333,0
2018-08-24T00:00:00.000Z,5,120,7200,0.003486217,0.322580645,0.5,0.5,1,0,0,0
2018-08-24T01:00:00.000Z,5,121,7260,0.0036107,0.967741935,1,0.133333333,1,0,0,0
2018-08-24T02:00:00.000Z,5,122,7320,0.00302015,0.327868852,1,0.2,1,0,0,0
2018-08-24T08:00:00.000Z,5,123,7380,0.005095333,0.655737705,1,0.516666667,1,0,0,0
2018-08-24T04:00:00.000Z,5,124,7440,0.004536033,0.523809524,1,0.516666667,1,0,0,0
2018-08-24T05:00:00.000Z,5,125,7500,0.004423333,0.640625,1,0.283333333,1,0,0,0
2018-08-24T06:00:00.000Z,5,126,7560,0.00955035,0.426229508,1,2.166666667,0.983333333,0,0.016666667,0
2018-08-24T07:00:00.000Z,5,127,7620,0.009985717,0.209677419,1,2.083333333,0.983333333,0.016666667,0,0
2018-08-24T08:00:00.000Z,5,128,7680,0.015106117,0,1,3.8,0.983333333,0.016666667,0,0
2018-08-24T09:00:00.000Z,5,129,7740,0.022694933,0,1,7.066666667,0.95,0.033333333,0.016666667,0
2018-08-24T10:00:00.000Z,5,130,7800,0.024128083,0,1,7.816666667,0.933333333,0.05,0.016666667,0
2018-08-24T11:00:00.000Z,5,131,7860,0.088145901,0,1,29.28333333,0.466666667,0.2,0.333333333,0
2018-08-24T12:00:00.000Z,5,132,7920,0.06487875,0,1,20.31666667,0.683333333,0.1,0.216666667,0
2018-08-24T13:00:00.000Z,5,133,7980,0.049812767,0,1,14.38333333,0.9,0.083333333,0.016666667,0
2018-08-24T14:00:00.000Z,5,134,8040,0.067403666,0,1,21.08333333,0.683333333,0.133333333,0.183333333,0
2018-08-24T15:00:00.000Z,5,135,8100,0.026160533,0,1,6.8,0.95,0,0.05,0
2018-08-24T16:00:00.000Z,5,136,8160,0.099800267,0,1,35.38333333,0.483333333,0.1,0.416666667,0
2018-08-24T17:00:00.000Z,5,137,8220,0.039145067,0,1,11.83333333,0.916666667,0.033333333,0.05,0
2018-08-24T18:00:00.000Z,5,138,8280,0.015778917,0,1,3.766666667,1,0,0,0
2018-08-24T19:00:00.000Z,5,139,8340,0.02745595,0,1,7.766666667,0.916666667,0.083333333,0,0
2018-08-24T20:00:00.000Z,5,140,8400,0.02075495,0,1,5.616666667,0.966666667,0.016666667,0.016666667,0
2018-08-24T21:00:00.000Z,5,141,8460,0.017705583,0,1,4.85,0.983333333,0.016666667,0,0
2018-08-24T22:00:00.000Z,5,142,8520,0.009962733,0.524590164,1,1.983333333,0.966666667,0,0.033333333,0
2018-08-24T23:00:00.000Z,5,143,8580,0.003996117,0.8125,1,0.3,1,0,0,0
2018-09-25T00:00:00.000Z,6,144,8640,0.004238917,0.596774194,1,0.416666667,1,0,0,0
2018-09-25T01:00:00.000Z,6,145,8700,0.003600833,0.741935484,1,0.283333333,1,0,0,0
2018-09-25T02:00:00.000Z,6,146,8760,0.004415183,0.532258065,1,0.55,1,0,0,0
2018-09-25T09:00:00.000Z,6,147,8820,0.00217585,0.523809524,1,0.116666667,1,0,0,0
2018-09-25T04:00:00.000Z,6,148,8880,0.01123455,0.393442623,1,2.216666667,0.966666667,0.033333333,0,0
2018-09-25T05:00:00.000Z,6,149,8940,0.008398017,0.196721311,1,1.583333333,1,0,0,0
2018-09-25T06:00:00.000Z,6,150,9000,0.0053458,0.533333333,1,0.483333333,1,0,0,0
2018-09-25T07:00:00.000Z,6,151,9060,0.006028567,0.444444444,1,0.966666667,1,0,0,0
2018-09-25T08:00:00.000Z,6,152,9120,0.0074129,0.327868852,1,1.15,1,0,0,0
2018-09-25T09:00:00.000Z,6,153,9180,0.034743984,0.032786885,1,11.53333333,0.833333333,0.1,0.066666667,0
2018-09-25T10:00:00.000Z,6,154,9240,0.027247317,0,1,8.466666667,0.933333333,0.033333333,0.033333333,0
2018-09-25T11:00:00.000Z,6,155,9300,0.012813067,0,1,3.316666667,1,0,0,0
2018-09-25T12:00:00.000Z,6,156,9360,0.023523517,0,1,7.633333333,0.983333333,0.016666667,0,0
2018-09-25T13:00:00.000Z,6,157,9420,0.0237371,0,1,8.016666667,0.933333333,0.05,0.016666667,0
2018-09-25T14:00:00.000Z,6,158,9480,0.02748155,0,1,8.55,0.95,0.016666667,0.033333333,0
2018-09-25T15:00:00.000Z,6,159,9540,0.033195933,0,1,9.65,0.916666667,0.066666667,0.016666667,0
2018-09-25T16:00:00.000Z,6,160,9600,0.0242394,0,1,6.883333333,0.983333333,0.016666667,0,0
2018-09-25T17:00:00.000Z,6,161,9660,0.041023183,0,1,13.13333333,0.8,0.116666667,0.083333333,0
2018-09-25T18:00:00.000Z,6,162,9720,0.027548783,0,1,7.566666667,0.9,0.066666667,0.033333333,0
2018-09-25T19:00:00.000Z,6,163,9780,0.028641717,0,1,7.766666667,0.933333333,0.033333333,0.033333333,0
2018-09-25T20:00:00.000Z,6,164,9840,0.019874167,0,1,5.966666667,0.966666667,0.016666667,0.016666667,0
2018-09-25T21:00:00.000Z,6,165,9900,0.013854633,0,1,3.6,1,0,0,0
2018-09-25T22:00:00.000Z,6,166,9960,0.021211933,0.133333333,1,5.466666667,0.95,0.016666667,0.033333333,0
2018-09-25T23:00:00.000Z,6,167,10020,0.004062483,0.344262295,1,0.55,1,0,0,0
